depth,a,b,c
1155,36,3.6,0.39
1156,58,8.46,0.6
1157,14,0.14,0.18
1158,4,9.78,0.39
1159,44,9.54,0.43
1160,52,3.74,0.84
1161,34,2.35,0.01
1162,43,7.52,0.36
1163,3,1.6,0.07
1164,11,7.11,0.37
1165,31,4.17,0.06
1166,70,3.36,0.57
1167,14,6.6,0.57
1168,100,5.53,0.7
1169,26,0.85,0.99
1170,62,3.79,0.81
1171,51,6.14,0.62
1172,64,3.4,0.41
1173,28,9.81,0.62
1174,15,1.31,0.55
1175,99,9.99,1
1176,63,0.02,0.87
1177,74,3.89,0.6
1178,69,4.18,0.57
1179,1,1.33,0.83
1180,6,2.77,0.4
1181,5,2.03,0.36
1182,1,6.26,0.88
1183,34,1.1,0.59
1184,52,3.71,0.43
1185,34,9.54,0.03
1186,61,0.15,0.75
1187,96,2.82,0.54
1188,29,1.31,0.8
1189,61,6.95,0.5
1190,98,7.26,0.59
1191,32,3.78,0.45
1192,0,8.93,0.4
1193,17,4.52,0.74
1194,56,5.47,0.23
1195,4,7.95,0.9
1196,65,6.66,0.47
1197,90,7.25,0.6
1198,93,6.57,0.79
1199,18,2.43,0.86
1200,86,0.52,0.66
1201,38,9.48,0.53
1202,33,4.44,0.77
1203,68,8.98,0.35
1204,86,0.54,0.68
1205,26,1.73,0.39
1206,99,0.12,0.36
1207,4,4.3,0.06
1208,85,1.83,0.07
1209,17,7.25,0.35
1210,65,9.51,0.98
1211,91,3.2,0.49
1212,42,2.31,0.89
1213,81,8.95,0.67
1214,9,9.52,0.5
1215,76,7.47,0.86
1216,32,2.69,0.98
1217,77,2.44,0.59
1218,83,2.59,0.53
1219,9,8.76,0.08
1220,49,2.27,0.59
1221,10,0.37,0.55
1222,44,2.38,0.94
1223,71,8.07,0.19
1224,76,5.21,0.57
1225,77,1.36,0.04
1226,65,1.55,0.22
1227,87,3.35,0.62
1228,17,5.14,0.42
1229,95,7.48,0.43
1230,52,4.26,0.72
1231,96,3.2,0.2
1232,32,8.07,0.65
1233,22,4.21,0.52
1234,4,6.16,0.01
1235,98,0.17,0.67
1236,97,4.7,0.76
1237,15,7.01,0.5
1238,64,7.63,0.6
1239,33,9.81,0
1240,98,8.74,0.58
1241,89,6.32,0.07
1242,74,4.84,0.81
1243,27,3.02,0.48
1244,75,2.23,0.06
1245,75,0.67,0.67
1246,85,9.02,0.8
1247,24,0.87,0.28
1248,41,4.95,0.18
1249,97,6.67,0.91
1250,27,4.35,0.13
1251,72,6.83,0.31
1252,15,9.16,0.19
1253,89,7.86,0.26
1254,94,8.44,0.11
1255,15,3.41,0.48
1256,5,0.77,0.96
1257,77,9.53,0.79
1258,32,3.9,0.14
1259,36,0.04,0.27
1260,48,3.14,0.68
1261,26,3.66,0.79
1262,23,8.27,0.84
1263,78,2.65,0.39
1264,72,5.69,0.17
1265,84,5.58,0.66
1266,19,7.37,0.32
1267,70,4.42,0.02
1268,37,1.66,0.02
1269,40,2.81,0.31
1270,62,0.17,0.12
1271,94,3.87,0.36
1272,4,8.61,0.07
1273,67,4.13,0.14
1274,60,2.67,0.76
1275,72,9.49,0.13
1276,30,0.21,0.27
1277,11,5.83,0.9
1278,83,0.79,0.73
1279,56,6.38,0.15
1280,45,5,0.5
1281,31,3.02,0.43
1282,1,0.74,0.88
1283,19,4.68,0.12
1284,4,9.22,0.84
1285,19,3.51,0.48
1286,83,6.46,0.8
1287,72,1.59,0.72
1288,90,0.54,0.74
1289,53,1.42,0.7
1290,99,1.13,0.56
1291,5,0.12,0.15
1292,54,7.19,0.81
1293,88,9.56,0.74
1294,81,8.71,0.17
1295,18,9.02,0.66
1296,74,1.49,0.86
1297,10,7.59,0.05
1298,60,1.65,0.95
1299,48,0.64,0.5
1300,76,2.81,0.17
1301,4,5.53,0.38
1302,4,3.07,0.73
1303,33,9.74,0.74
1304,40,5.41,0.21
1305,43,0.64,0.41
1306,98,1.49,0.05
1307,20,1.48,0.02
1308,42,8.23,0.76
1309,58,4.09,0.93
1310,76,9.05,0.21
1311,77,0.33,0.49
1312,56,9.13,0.2
1313,18,6.21,0.84
1314,58,6.07,0.29
1315,68,7.41,0.91
1316,1,6.04,0.11
1317,38,1.68,0.05
1318,49,9.61,0.56
1319,85,0.46,0.85
1320,97,6.09,0.58
1321,40,9.26,0.82
1322,50,2.83,0.32
1323,74,6.38,0.98
1324,75,9.29,0.72
1325,38,0.04,0.66
1326,98,4.87,0.13
1327,97,2.69,0.62
1328,77,9.91,0.15
1329,72,4.57,0.28
1330,40,7.95,0.81
1331,94,4.88,0.27
1332,56,7.8,0.7
1333,2,8.11,0.58
1334,7,1.79,0.64
1335,20,3.42,0.43
1336,23,2.38,0.19
1337,68,8.88,0.78
1338,48,9.59,0.49
1339,30,6.84,0.51
1340,55,7.77,0.4
1341,59,1.19,0.86
1342,70,7.57,0.37
1343,6,5.49,0.68
1344,97,8.02,0.1
1345,2,2.15,0.59
1346,85,8.57,0.02
1347,24,9.29,0.26
1348,13,3.51,0.2
1349,64,7.09,0.97
1350,89,7.22,0.58
1351,19,3.02,0.7
1352,61,4.66,0.54
1353,2,5.42,0.28
1354,39,5.76,0.83
1355,23,9.03,0.31
1356,69,0.45,0.95
1357,63,3.75,0.08
1358,38,1.98,0.91
1359,49,6.4,0.29
1360,7,5.11,0.41
1361,6,1.52,0.67
1362,75,2.81,0.98
1363,42,4.94,0.63
1364,29,1.52,0.59
1365,47,2.91,0.71
1366,10,8.9,0.27
1367,79,5.23,0.01
1368,86,1.35,0.88
1369,73,7.66,0.51
1370,80,2,0.4
1371,33,3.51,0.57
1372,11,0.21,0.47
1373,81,5.81,0.79
1374,75,2.54,0.53
1375,14,9.82,0.89
1376,66,4.07,0.48
1377,60,9.14,0.35
1378,75,6.6,0.68
1379,20,2.5,0.2
1380,96,2.88,0.75
1381,64,4.9,0.9
1382,89,1.71,0.25
1383,71,1.54,0.23
1384,75,6.33,0.46
1385,45,0.34,0.55
1386,84,4.52,0.96
1387,35,3.18,0.35
1388,82,1.77,0.26
1389,100,0.86,0.58
1390,26,2.63,0.91
1391,77,7.77,0.51
1392,6,5.32,0.83
1393,17,7.23,0.61
1394,90,1.69,0.41
1395,36,3.84,0.62
1396,52,1.82,0.66
1397,91,6.41,0.2
1398,29,0.79,0.09
1399,63,1.07,0.56
1400,55,6.94,0.99
1401,22,8.18,0.72
1402,98,7.6,0.64
1403,34,1.05,0.16
1404,44,0.76,0.11
1405,85,1.25,0.43
1406,40,8.7,0.16
1407,33,6.06,0.68
1408,65,8.3,0.35
1409,30,1.97,0.58
1410,42,1.31,0.03
1411,53,3.79,0.81
1412,92,3.46,0.53
1413,59,1.44,0.84
1414,35,10,0.54
1415,58,4.71,0.75
1416,85,0.62,0.38
1417,65,4.49,0.1
1418,66,3.91,0.97
1419,38,9.52,0.25
1420,24,3.32,0.71
1421,72,4.03,0.45
1422,67,2.77,0.7
1423,25,5.12,0.46
1424,58,8.28,0.3
1425,58,4.48,0.56
1426,66,4.36,0.81
1427,20,4.36,0.15
1428,73,7.62,0.44
1429,48,6.57,0.14
1430,88,3.5,0.96
1431,98,7.83,0.44
1432,70,7.9,0.88
1433,54,8.77,0.67
1434,80,2.35,0.88
1435,69,0.12,0.72
1436,91,4.03,0.34
1437,79,5.24,0.78
1438,81,1.03,0.84
1439,87,2.27,0.4
1440,96,7.52,0.53
1441,32,7.3,0.23
1442,87,4.24,0.44
1443,97,6.06,0.24
1444,66,5.89,0.32
1445,76,1.41,0.34
1446,66,6.9,0.79
1447,70,7.72,0.9
1448,36,3.34,0.3
1449,26,5.06,0.14
1450,61,4.27,0.37
1451,45,9.19,0.49
1452,78,8.67,0.56
1453,40,1.49,0
1454,62,8.05,0.63
1455,78,9.31,0.63
1456,76,1.16,0.3
1457,43,9.84,0.98
1458,38,3.76,0.78
1459,35,3.39,0.13
1460,3,6.59,0.72
1461,21,3.78,0.69
1462,97,3.65,0.67
1463,27,9.26,0.97
1464,51,9.24,0.03
1465,20,9.51,0.39
1466,36,5.59,0.47
1467,71,8.18,0.44
1468,0,2.37,0.73
1469,94,2.11,0.14
1470,77,4.01,0.88
1471,52,6.25,0.78
1472,10,4.56,0.27
1473,42,3.25,0.21
1474,73,8.65,0.96
1475,19,4.14,0.17
1476,74,3.46,0.02
1477,18,8.07,0.64
1478,7,9.75,0.56
1479,34,7.25,0.53
1480,41,8.62,0.91
1481,43,9.76,0.35
1482,6,1.19,0.4
1483,2,1.88,0.6
1484,40,4.17,0
1485,77,7.76,0.88
1486,51,6.51,0.88
1487,26,1.44,0.45
1488,95,8.47,0.24
1489,20,3.6,0.64
1490,48,1.42,0.35
1491,81,3.2,0.34
1492,10,5.03,0.31
1493,6,2.73,0.12
1494,92,3.51,0.42
1495,43,9.09,0.06
1496,86,3.73,0.67
1497,95,4.94,0.1
1498,8,4.22,0.45
1499,24,2.66,0.64
1500,90,3.95,0.69
1501,76,5.96,0.21
1502,4,3.11,0.04
1503,70,3.84,0.69
1504,96,5.53,0.91
1505,4,3.64,0.27
1506,51,7.2,0.9
1507,41,3.18,0.24
1508,56,1.45,0.74
1509,62,2.58,0.51
1510,5,5.1,0.32
1511,92,0.23,0.2
1512,59,9.25,0.99
1513,85,8.72,0.91
1514,34,1.4,0.44
1515,53,1.27,0.26
1516,82,6.23,0.05
1517,4,0.38,0.73
1518,28,3.53,0.34
1519,95,1.15,0.23
1520,37,3.67,0.12
1521,99,0.1,0.6
1522,18,3.6,0.76
1523,80,6.92,0.63
1524,36,7.79,0.27
1525,63,5.9,0.7
1526,0,2.01,0.71
1527,32,4.93,0.71
1528,80,3.1,0.45
1529,66,2.35,0.91
1530,40,1.95,0.26
1531,18,5.29,0.8
1532,32,8.83,0.91
1533,70,7.59,0.68
1534,87,4.05,0.57
1535,80,1.16,0.85
1536,94,0.18,0.08
1537,89,7.71,0.18
1538,88,6.52,0.99
1539,18,0.69,0.42
1540,70,3,0.17
1541,9,6.83,0.72
1542,93,9.13,0.86
1543,81,6.28,0.75
1544,32,0.94,0.1
1545,34,2.97,0.82
1546,99,2.24,0.09
1547,53,5.88,0.62
1548,56,1.04,0.78
1549,20,9.64,0.29
1550,97,7.52,0.03
1551,88,1.87,0.5
1552,92,2.53,0.12
1553,39,6.58,0.12
1554,88,5.83,0.19
1555,94,2.84,0.27
1556,9,9.26,0.74
1557,42,9.09,0.86
1558,94,9.85,0.29
1559,44,3.01,0.97
1560,24,3.36,0.71
1561,1,7.38,1
1562,5,7.25,0.15
1563,80,6.03,0.66
1564,91,5.74,0.9
1565,47,5.25,0.77
1566,4,4.41,0.14
1567,29,4.98,1
1568,6,3.1,0.05
1569,90,0.34,0.73
1570,12,3.81,0.29
1571,21,5.04,0.97
1572,41,8.67,0.95
1573,23,9.2,0.29
1574,95,1.91,0.51
1575,65,6.44,0.25
1576,96,2.27,0.1
1577,80,6.21,0.9
1578,86,9.36,0.73
1579,44,4.41,0.24
1580,65,0.08,0.48
1581,23,9.55,0.6
1582,42,6.15,0.54
1583,86,4.77,0.92
1584,23,0.63,0.9
1585,94,7.48,0.93
1586,39,2.76,0.2
1587,34,1.28,0.23
1588,100,1.37,0.1
1589,5,2.5,0.94
1590,51,5.75,0.03
1591,97,2.79,0.67
1592,97,7.21,0.47
1593,51,1.11,0.02
1594,40,8.93,0.73
1595,2,3.7,0.58
1596,63,9.48,0.33
1597,65,5.59,0.71
1598,88,0.9,0.98
1599,36,9.05,0.94
1600,10,8.21,0.45
1601,29,1.64,0.17
1602,81,3.81,0.38
1603,64,6.77,0.74
1604,57,9.21,0.5
1605,91,5.82,0.76
1606,99,5.07,0.94
1607,18,8.42,0.18
1608,31,5.03,0.62
1609,61,6.4,0.51
1610,61,6.48,0.34
1611,5,2.88,0.71
1612,76,4.74,0.62
1613,16,7.7,0.64
1614,2,4.96,0.86
1615,72,7.2,0.68
1616,49,2.86,0.72
1617,13,7.23,0.17
1618,28,1.82,0.27
1619,70,5.94,0.93
1620,49,7.14,0.82
1621,5,9.06,0.23
1622,72,4.96,0.5
1623,31,6.35,0.92
1624,62,1.44,0.52
1625,11,2.05,0.46
1626,12,9.68,0.41
1627,42,4.83,0.11
1628,56,5.94,0.55
1629,97,5.51,0.22
1630,24,1.25,0.87
1631,36,6.64,0.02
1632,32,5.03,0.34
1633,54,6.65,0.99
1634,27,0.55,0.42
1635,86,7,0.31
1636,54,1.05,0.61
1637,11,5.03,0.98
1638,17,0.92,0.54
1639,99,1.57,0.18
1640,96,7.69,0.18
1641,62,7.21,0.57
1642,37,7.79,0.91
1643,6,7.26,0.01
1644,1,7.83,0.62
1645,70,9.01,0.59
1646,93,2.92,0.2
1647,83,1.16,0.72
1648,12,3.64,0.41
1649,87,6.11,0.15
1650,47,9.08,0.77
1651,59,4.89,0.98
1652,59,2.55,0.58
1653,76,4.99,0.63
1654,33,6.53,0.57
1655,69,8.27,0.54
1656,81,7.16,0.28
1657,84,1.83,0.94
1658,37,6.48,0.12
1659,89,7.84,0.59
1660,4,9.96,0.92
1661,74,5.04,0.97
1662,25,1.7,0.16
1663,85,6.96,0.8
1664,36,3.76,0.46
1665,93,3.31,0.5
1666,1,9.73,0.51
1667,58,6.67,0.55
1668,85,3.42,0.5
1669,23,4.23,0
1670,51,9.65,0.79
1671,70,0.76,0.61
1672,63,9.27,0.03
1673,56,5.46,0.67
1674,5,5.74,0.01
1675,0,8.35,0.07
1676,1,6.12,0.82
1677,96,7.93,0.02
1678,81,7.35,0.44
1679,47,5.3,0.85
1680,98,9.56,0.52
1681,42,7.6,0.09
1682,66,4.63,1
1683,91,3.87,0.25
1684,89,5.55,0.39
1685,15,0.07,0.02
1686,82,3.44,0.53
1687,27,6.68,0.51
1688,2,2.12,0.53
1689,64,9.09,0.35
1690,90,5.02,0.07
1691,71,6.61,0.17
1692,81,3.74,0.43
1693,5,4.22,0.45
1694,93,5.87,0.02
1695,20,6.27,0.87
1696,91,8.21,0.34
1697,43,2.23,0.59
1698,82,1.3,0.2
1699,77,3.37,0.94
1700,59,4.34,0.86
1701,65,9.29,0.96
1702,32,2.56,0.6
1703,38,8.9,0.19
1704,19,2.57,0.25
1705,52,1.86,0.05
1706,42,2.98,0.52
1707,41,7.61,0.18
1708,48,7.95,0.94
1709,90,0.77,0.82
1710,90,5.53,0.85
1711,40,9.68,0.17
1712,89,8.6,0.4
1713,7,3.6,0.11
1714,30,1.29,0.41
1715,73,1.47,0.63
1716,37,0.79,0.88
1717,72,3.85,0.28
1718,88,1.01,0.27
1719,9,5.2,0.22
1720,21,0.15,0.81
1721,49,8.24,0.54
1722,96,4.84,0.96
1723,72,3.06,0.17
1724,97,9.17,0.82
1725,37,0.17,0.42
1726,93,9.99,0.39
1727,26,5.31,0.4
1728,69,6.98,0.81
1729,79,7.09,0.81
1730,48,6.12,0.45
1731,80,4.08,0.15
1732,35,0.73,0.84
1733,34,6.83,0.92
1734,51,0.15,0.09
1735,91,4.84,0.19
1736,36,4.74,0.44
1737,14,7.65,0.66
1738,21,0.46,0.33
1739,91,7.22,0.44
1740,89,4.71,0.28
1741,80,6.17,0.59
1742,83,5.38,0.15
1743,54,0.39,0.66
1744,74,2.15,0.1
1745,10,1.34,0.83
1746,35,1.14,0.43
1747,27,2.75,0.39
1748,48,8.3,0.16
1749,95,4.19,0.15
1750,86,4.76,0.25
1751,42,2.7,0.04
1752,23,9.41,0.23
1753,49,7.43,0.47
1754,4,2.97,0.51
1755,0,6.18,0.93
1756,32,6.99,0.99
1757,34,2.14,0.21
1758,36,1.08,0.68
1759,1,4.24,0.09
1760,66,3.08,0.43
1761,36,8.75,0.1
1762,88,6.63,0.02
1763,90,2.71,0.08
1764,27,7.37,0.63
1765,93,7.66,0.6
1766,18,5.07,0.95
1767,20,1.87,0.79
1768,87,5.27,0.83
1769,1,6.73,0.51
1770,36,9.78,0.85
1771,6,5.33,0.26
1772,13,3.04,0.53
1773,32,4.8,0.31
1774,89,8.19,0.22
1775,89,0.52,0.82
1776,17,8.22,0.04
1777,11,5.06,0.33
1778,11,6.94,0.05
1779,29,3.43,0.33
1780,35,9.24,0.51
1781,77,7.48,0.92
1782,8,4.14,0.76
1783,4,1.01,0.68
1784,86,7.68,0.89
1785,29,1.09,0.18
1786,55,0.76,0.99
1787,61,4.61,0.29
1788,52,5.2,0.16
1789,58,8.74,0.24
1790,32,2.47,0.59
1791,29,9.64,0.47
1792,78,10,0.17
1793,79,0.04,0.8
1794,23,4.31,0.56
1795,17,2.26,0.27
1796,90,6.35,0.42
1797,85,9.12,0.91
1798,10,8.75,0.32
1799,58,6.64,0.96
1800,78,6.17,0.94
1801,26,5.91,0.81
1802,28,9.33,0.8
1803,59,9.04,0.14
1804,81,2.04,0.79
1805,27,8.52,0.23
1806,77,5,0.63
1807,32,4.46,0.37
1808,77,4.2,0.51
1809,36,2.73,0.31
1810,24,7.52,0.79
1811,98,9.46,0.57
1812,78,2.57,0.62
1813,98,8.43,0.73
1814,66,9.44,0.03
1815,30,8.84,0.45
1816,36,8.23,0.86
1817,38,7.17,0.85
1818,29,6.71,0.64
1819,42,9.41,0.04
1820,73,0.17,0.96
1821,99,5.51,0.29
1822,23,7.84,0.13
1823,26,2.54,0.56
1824,70,2.61,0.3
1825,25,1.49,0.48
1826,22,5.92,0.36
1827,38,7.16,0.65
1828,71,2.55,0.85
1829,98,0.74,0.63
1830,64,3.63,0.81
1831,23,3.31,0.04
1832,67,3.34,0.3
1833,78,1.18,0.32
1834,12,5.86,0.45
1835,50,3.03,0.92
1836,16,1.36,0.38
1837,100,1.32,0.57
1838,60,1.4,0.61
1839,41,1.45,0.15
1840,94,2.05,0.44
1841,46,4.58,0.28
1842,0,1.3,0.79
1843,88,8.66,0.65
1844,26,7.65,0.23
1845,42,9.8,0.64
1846,98,6.08,0.65
1847,64,1.65,0.06
1848,15,9.64,0.98
1849,86,9.69,0.06
1850,70,6.59,0.33
1851,46,5.94,0.85
1852,27,1.13,0.12
1853,15,8.53,0.89
1854,49,8.11,0.12
1855,59,5.47,0.06
1856,18,4.08,0.07
1857,60,5.79,0.88
1858,99,0.46,0.33
1859,36,9.55,0.67
1860,29,9.99,0.15
1861,71,0.45,0.79
1862,68,7.86,0.86
1863,18,4.55,0.71
1864,9,5.59,0.36
1865,30,7.51,0.91
1866,17,9.06,0.22
1867,20,3.58,0.34
1868,61,9.8,0.43
1869,55,1.45,0.44
1870,3,6.24,0.72
1871,13,6.17,0.41
1872,82,0.53,0.76
1873,99,5.84,0.15
1874,78,2.73,0.3
1875,18,2.33,0.48
1876,14,5.08,0.17
1877,29,2.43,0.69
1878,59,8.86,0.43
1879,67,5.28,0.11
1880,79,6.86,0.68
1881,92,7.78,0.6
1882,29,2.22,0.09
1883,79,4.23,0.44
1884,58,8.9,0.27
1885,55,9.84,0.62
1886,52,6.41,0.18
1887,59,3.86,0.83
1888,87,0.57,0.19
1889,6,0.92,0.05
1890,96,8.33,0.8
1891,14,3.56,0.53
1892,24,1.86,0.09
1893,67,4.41,0.25
1894,88,5.29,0.54
1895,82,6.96,0.24
1896,86,5.72,0.24
1897,35,9.64,0.35
1898,73,6.6,0.41
1899,90,6.57,0.39
1900,19,9.15,0.82
1901,75,6.88,0.43
1902,68,0.33,0.96
1903,93,6.86,0.7
1904,78,3.09,0.43
1905,17,8.29,0.15
1906,97,3.59,0.1
1907,92,8.3,0.24
1908,47,6.19,0.5
1909,90,4.74,0.05
1910,4,3.1,0.15
1911,16,1.35,0.71
1912,33,2.67,0.44
1913,82,2.55,0.38
1914,91,3.16,0.48
1915,5,0.98,0.77
1916,29,7.51,0.93
1917,36,7.47,0.07
1918,39,2.17,0.02
1919,31,3.75,0.04
1920,6,6.37,0.81
1921,50,9.73,0.41
1922,54,3.68,0.46
1923,10,4.72,0.63
1924,31,0.28,0.42
1925,88,1.51,0.86
1926,83,7.56,0.46
1927,7,5.35,0.38
1928,6,0.39,0.44
1929,91,2.87,0.33
1930,8,3.95,0.43
1931,47,2.73,0.88
1932,82,3.17,0.09
1933,31,0.24,0.1
1934,90,1.15,0.31
1935,1,9.96,0.81
1936,12,3.4,0.52
1937,89,3.82,0.12
1938,93,5.61,0.04
1939,35,9.35,0.89
1940,60,1.74,0.34
1941,51,9.49,0.83
1942,17,9.97,0.31
1943,51,8.56,0.43
1944,69,6.37,0.87
1945,15,6.94,0.64
1946,32,8.55,0.27
1947,32,5.84,0.15
1948,55,0.09,0.63
1949,20,3.69,0.78
1950,80,4.69,0.55
1951,16,9.17,0.68
1952,71,4.07,0.04
1953,47,8.42,0.77
1954,71,6.95,0.66
1955,74,5.65,0.89
1956,53,6.81,0.54
1957,56,2.48,0.11
1958,78,9.85,0.27
1959,6,9.61,0.07
1960,9,1.76,0.76
1961,13,4.43,0.14
1962,31,3.35,0.07
1963,73,2.37,0.9
1964,75,7.97,0.53
1965,45,3.83,0.5
1966,56,8.44,0.76
1967,19,5.61,0.53
1968,68,4.17,0.56
1969,35,0.27,0.48
1970,11,6.53,0
1971,74,7.53,0.37
1972,55,2.69,0.14
1973,84,8.03,0.57
1974,19,9.34,0.16
1975,59,2,0.74
1976,53,8.27,0.83
1977,98,4.02,0.46
1978,50,3.1,0.17
1979,18,6.37,0.76
1980,100,9.11,0.53
1981,44,8.8,0.45
1982,10,5.37,0.24
1983,86,5.47,0.37
1984,71,3.85,0.56
1985,1,6.91,0.3
1986,11,2.89,0.31
1987,80,3.81,0.08
1988,9,8.39,0.91
1989,19,4.82,0.1
1990,99,0.49,0.74
1991,60,2.13,0.69
1992,60,3.78,0.48
1993,75,6.81,0.03
1994,69,9.31,0.81
1995,63,1.21,0.17
1996,64,1.58,0.75
1997,25,1.83,0.04
1998,23,8.61,0.96
1999,14,6.87,0.54
2000,1,2.09,0.26
2001,40,9.31,0.33
2002,23,5.03,0.78
2003,55,8.71,0.89
2004,73,9.12,0.4
2005,85,9.64,0.71
2006,92,8.9,0.97
2007,70,8.27,0.07
2008,80,4.44,0.77
2009,75,1.2,0.45
2010,84,1.32,0.46
2011,17,5.99,0.38
2012,39,2.96,0.83
2013,76,7.08,0.19
2014,40,6.49,0.89
2015,49,1.09,0.4
2016,33,4.73,0.87
2017,12,7.78,0.14
2018,70,9.71,0.66
2019,52,9.26,0.94
2020,25,8.38,0.4
2021,55,4.92,0.55
2022,95,4.42,0.28
2023,28,5.86,0.26
2024,96,1.2,0.73
2025,69,7.19,0.23
2026,42,8.01,0.87
2027,16,7.48,0.62
2028,35,7.3,0.84
2029,19,8.88,0.72
2030,52,1.1,0.38
2031,92,9.84,0.05
2032,56,7.06,0.64
2033,73,3.41,0.36
2034,60,2.8,0.25
2035,24,2.41,0.21
2036,88,0.17,0.29
2037,24,6.85,0.17
2038,54,4.34,0.15
2039,99,0.56,0.53
2040,60,6.26,0.64
2041,82,7.92,0.24
2042,67,1.73,0
2043,95,6.61,0.53
2044,2,5.93,0.83
2045,92,7.25,0.01
2046,83,2.08,0.95
2047,13,3.32,0.97
2048,61,1.61,0.38
2049,85,0.7,0.65
2050,59,5.69,0.52
2051,26,0.36,0.37
2052,2,0.38,0.93
2053,76,5.76,0.07
2054,20,2.54,0.45
2055,29,5.23,0.88
2056,6,1.46,0.23
2057,57,6.88,0.18
2058,29,6.98,0.47
2059,68,5.91,0.02
2060,22,4.67,0.83
2061,50,0.62,0.46
2062,12,8.11,0.19
2063,51,2.56,0.64
2064,39,0.1,0.88
2065,12,8.4,0.37
2066,25,2.54,0.17
2067,16,1.46,0.07
2068,20,5.29,0.51
2069,27,5.76,0.67
2070,29,9.5,0.8
2071,46,3.76,0.78
2072,11,0.32,0.6
2073,62,2.37,0.74
2074,30,4.76,0.08
2075,79,0.31,0.85
2076,46,1.34,0
2077,92,6.87,0.65
2078,61,5.72,0.59
2079,54,0.5,0.51
2080,73,5.94,0.91
2081,24,8.36,0.86
2082,15,3.07,0.83
2083,67,4.78,0.72
2084,43,1.77,0.72
2085,63,0.05,0.58
2086,68,10,0.8
2087,31,5.54,0.54
2088,90,5.81,0.66
2089,45,7.58,0.43
2090,42,5.6,0.57
2091,93,5.9,0.84
2092,70,0.13,0.62
2093,29,7.2,0.74
2094,93,3.06,0.7
2095,88,2.05,0.11
2096,46,9.02,0.71
2097,48,8.11,0.6
2098,86,3.79,0.66
2099,12,0.21,0.34
2100,71,6.47,0.41
2101,30,8.79,0.64
2102,89,1.44,0.37
2103,84,6.67,0.15
2104,83,1.46,0.58
2105,28,8.24,0
2106,95,2.86,0.54
2107,9,0.84,0.03
2108,23,3.97,0.62
2109,27,5.94,0.22
2110,52,2.45,0.49
2111,71,6.82,0.35
2112,56,9.98,0.3
2113,39,4.47,0.18
2114,26,7.79,0.1
2115,57,5.46,0.03
2116,88,1.28,0.38
2117,20,9.56,0.27
2118,49,2.58,0.08
2119,38,6.56,0.29
2120,9,6.5,0.92
2121,51,5.4,0.86
2122,54,2.97,0.72
2123,9,3.34,0.32
2124,71,7.76,0.15
2125,41,1.18,0.31
2126,37,9.94,0.69
2127,10,2.7,0.42
2128,97,8.01,0.24
2129,57,0.53,0.52
2130,98,1.92,0.59
2131,68,7.77,0.44
2132,29,0.05,0.39
2133,95,9.26,0.26
2134,28,3.3,0.97
2135,48,8.5,0.49
2136,14,9.1,0.44
2137,49,6,0.67
2138,23,8.23,0.88
2139,60,3.38,0.97
2140,11,4,0.98
2141,69,7.19,0.78
2142,55,6.92,0.6
2143,60,7.04,0.03
2144,78,1.89,0.85
2145,81,9.23,0.45
2146,46,3.29,0.4
2147,79,1.11,0.36
2148,67,6.93,0.75
2149,75,4.66,0.79
2150,78,9.36,0.57
